Table_Ref,CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Child_Age,Unit,Indicator,Value
9a_9b_9c,2018-19,E12000001,North East,E08000022,North Tyneside,24m,Number,PCV,2198
9a_9b_9c,2018-19,E12000001,North East,E08000022,North Tyneside,24m,Number,MenB_booster,2169
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,24m_Eligible_Pop,1703
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,DTap_IPV_Hib,1673
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,MMR,1639
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,Hib_MenC,1649
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,PCV,1644
9a_9b_9c,2018-19,E12000001,North East,E08000023,South Tyneside,24m,Number,MenB_booster,1629
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,24m_Eligible_Pop,2997
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,DTap_IPV_Hib,2898
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,MMR,2857
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,Hib_MenC,2861
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,PCV,2866
9a_9b_9c,2018-19,E12000001,North East,E08000024,Sunderland,24m,Number,MenB_booster,2786
9a_9b_9c,2018-19,E12000001,North East,E08000037,Gateshead,24m,Number,24m_Eligible_Pop,2254
9a_9b_9c,2018-19,E12000001,North East,E08000037,Gateshead,24m,Number,DTap_IPV_Hib,2163
9a_9b_9c,2018-19,E12000001,North East,E08000037,Gateshead,24m,Number,MMR,2105
9a_9b_9c,2018-19,E12000001,North East,E08000037,Gateshead,24m,Number,Hib_MenC,2109
9a_9b_9c,2018-19,E12000001,North East,E08000037,Gateshead,24m,Number,PCV,2092
9a_9b_9c,2018-19,E12000001,North East,E08000037,Gateshead,24m,Number,MenB_booster,2054
9a_9b_9c,2018-19,E12000002,North West,E06000006,Halton,24m,Number,24m_Eligible_Pop,1503
9a_9b_9c,2018-19,E12000002,North West,E06000006,Halton,24m,Number,DTap_IPV_Hib,1437
9a_9b_9c,2018-19,E12000002,North West,E06000006,Halton,24m,Number,MMR,1379
9a_9b_9c,2018-19,E12000002,North West,E06000006,Halton,24m,Number,Hib_MenC,1392
9a_9b_9c,2018-19,E12000002,North West,E06000006,Halton,24m,Number,PCV,1393
9a_9b_9c,2018-19,E12000002,North West,E06000006,Halton,24m,Number,MenB_booster,1378
9a_9b_9c,2018-19,E12000002,North West,E06000007,Warrington,24m,Number,24m_Eligible_Pop,2351
9a_9b_9c,2018-19,E12000002,North West,E06000007,Warrington,24m,Number,DTap_IPV_Hib,2277
9a_9b_9c,2018-19,E12000002,North West,E06000007,Warrington,24m,Number,MMR,2215
9a_9b_9c,2018-19,E12000002,North West,E06000007,Warrington,24m,Number,Hib_MenC,2229
9a_9b_9c,2018-19,E12000002,North West,E06000007,Warrington,24m,Number,PCV,2237
9a_9b_9c,2018-19,E12000002,North West,E06000007,Warrington,24m,Number,MenB_booster,2200
9a_9b_9c,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,24m,Number,24m_Eligible_Pop,2193
