Table_Ref,CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Child_Age,Unit,Indicator,Value
8a_8b_8c,2018-19,E12000001,North East,E06000001,Hartlepool,12m,Number,12m_Eligible_Pop,972
8a_8b_8c,2018-19,E12000001,North East,E06000001,Hartlepool,12m,Number,DTaP_IPV_Hib,907
8a_8b_8c,2018-19,E12000001,North East,E06000001,Hartlepool,12m,Number,Rota,912
8a_8b_8c,2018-19,E12000001,North East,E06000001,Hartlepool,12m,Number,PCV,920
8a_8b_8c,2018-19,E12000001,North East,E06000001,Hartlepool,12m,Number,MenB,918
8a_8b_8c,2018-19,E12000001,North East,E06000002,Middlesbrough,12m,Number,12m_Eligible_Pop,1988
8a_8b_8c,2018-19,E12000001,North East,E06000002,Middlesbrough,12m,Number,DTaP_IPV_Hib,1821
8a_8b_8c,2018-19,E12000001,North East,E06000002,Middlesbrough,12m,Number,Rota,1764
8a_8b_8c,2018-19,E12000001,North East,E06000002,Middlesbrough,12m,Number,PCV,1829
8a_8b_8c,2018-19,E12000001,North East,E06000002,Middlesbrough,12m,Number,MenB,1826
8a_8b_8c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,12m,Number,12m_Eligible_Pop,1398
8a_8b_8c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,12m,Number,DTaP_IPV_Hib,1324
8a_8b_8c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,12m,Number,Rota,1303
8a_8b_8c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,12m,Number,PCV,1332
8a_8b_8c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,12m,Number,MenB,1333
8a_8b_8c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,12m,Number,12m_Eligible_Pop,2139
8a_8b_8c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,12m,Number,DTaP_IPV_Hib,2034
8a_8b_8c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,12m,Number,Rota,2022
8a_8b_8c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,12m,Number,PCV,2046
8a_8b_8c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,12m,Number,MenB,2046
8a_8b_8c,2018-19,E12000001,North East,E06000005,Darlington,12m,Number,12m_Eligible_Pop,1107
8a_8b_8c,2018-19,E12000001,North East,E06000005,Darlington,12m,Number,DTaP_IPV_Hib,1056
8a_8b_8c,2018-19,E12000001,North East,E06000005,Darlington,12m,Number,Rota,1038
8a_8b_8c,2018-19,E12000001,North East,E06000005,Darlington,12m,Number,PCV,1059
8a_8b_8c,2018-19,E12000001,North East,E06000005,Darlington,12m,Number,MenB,1057
8a_8b_8c,2018-19,E12000001,North East,E06000047,County Durham,12m,Number,12m_Eligible_Pop,5097
8a_8b_8c,2018-19,E12000001,North East,E06000047,County Durham,12m,Number,DTaP_IPV_Hib,4958
8a_8b_8c,2018-19,E12000001,North East,E06000047,County Durham,12m,Number,Rota,4882
8a_8b_8c,2018-19,E12000001,North East,E06000047,County Durham,12m,Number,PCV,4964
8a_8b_8c,2018-19,E12000001,North East,E06000047,County Durham,12m,Number,MenB,4948
8a_8b_8c,2018-19,E12000001,North East,E06000057,Northumberland,12m,Number,12m_Eligible_Pop,2891
8a_8b_8c,2018-19,E12000001,North East,E06000057,Northumberland,12m,Number,DTaP_IPV_Hib,2755
8a_8b_8c,2018-19,E12000001,North East,E06000057,Northumberland,12m,Number,Rota,2736
8a_8b_8c,2018-19,E12000001,North East,E06000057,Northumberland,12m,Number,PCV,2761
8a_8b_8c,2018-19,E12000001,North East,E06000057,Northumberland,12m,Number,MenB,2754
8a_8b_8c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,12m,Number,12m_Eligible_Pop,3219
8a_8b_8c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,12m,Number,DTaP_IPV_Hib,3002
8a_8b_8c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,12m,Number,Rota,2973
8a_8b_8c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,12m,Number,PCV,3017
8a_8b_8c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,12m,Number,MenB,2988
8a_8b_8c,2018-19,E12000001,North East,E08000022,North Tyneside,12m,Number,12m_Eligible_Pop,2207
8a_8b_8c,2018-19,E12000001,North East,E08000022,North Tyneside,12m,Number,DTaP_IPV_Hib,2145
8a_8b_8c,2018-19,E12000001,North East,E08000022,North Tyneside,12m,Number,Rota,2116
8a_8b_8c,2018-19,E12000001,North East,E08000022,North Tyneside,12m,Number,PCV,2148
8a_8b_8c,2018-19,E12000001,North East,E08000022,North Tyneside,12m,Number,MenB,2144
8a_8b_8c,2018-19,E12000001,North East,E08000023,South Tyneside,12m,Number,12m_Eligible_Pop,1664
8a_8b_8c,2018-19,E12000001,North East,E08000023,South Tyneside,12m,Number,DTaP_IPV_Hib,1622
8a_8b_8c,2018-19,E12000001,North East,E08000023,South Tyneside,12m,Number,Rota,1591
8a_8b_8c,2018-19,E12000001,North East,E08000023,South Tyneside,12m,Number,PCV,1622
8a_8b_8c,2018-19,E12000001,North East,E08000023,South Tyneside,12m,Number,MenB,1619
8a_8b_8c,2018-19,E12000001,North East,E08000024,Sunderland,12m,Number,12m_Eligible_Pop,2944
8a_8b_8c,2018-19,E12000001,North East,E08000024,Sunderland,12m,Number,DTaP_IPV_Hib,2855
8a_8b_8c,2018-19,E12000001,North East,E08000024,Sunderland,12m,Number,Rota,2812
8a_8b_8c,2018-19,E12000001,North East,E08000024,Sunderland,12m,Number,PCV,2864
8a_8b_8c,2018-19,E12000001,North East,E08000024,Sunderland,12m,Number,MenB,2853
8a_8b_8c,2018-19,E12000001,North East,E08000037,Gateshead,12m,Number,12m_Eligible_Pop,2144
8a_8b_8c,2018-19,E12000001,North East,E08000037,Gateshead,12m,Number,DTaP_IPV_Hib,2015
8a_8b_8c,2018-19,E12000001,North East,E08000037,Gateshead,12m,Number,Rota,1959
8a_8b_8c,2018-19,E12000001,North East,E08000037,Gateshead,12m,Number,PCV,2017
8a_8b_8c,2018-19,E12000001,North East,E08000037,Gateshead,12m,Number,MenB,2006
