Table_Ref,CollectionYearRange,Child_Age,Unit,Indicator,Value
7,1988-89,24m,%,MMR,80.00000000000000
7,1989-90,24m,%,MMR,84.00000000000000
7,1990-91,24m,%,MMR,87.10000000000000
7,1991-92,24m,%,MMR,89.89019992427580
7,1992-93,24m,%,MMR,91.60000000000000
7,1993-94,24m,%,MMR,90.80561238955680
7,1994-95,24m,%,MMR,90.98458065109930
7,1995-96,24m,%,MMR,91.80000000000000
7,1996-97,24m,%,MMR,91.54591980656860
7,1997-98,24m,%,MMR,90.78331313284140
7,1998-99,24m,%,MMR,88.29796829363890
7,1999-2000,24m,%,MMR,87.63262498862130
7,2000-01,24m,%,MMR,87.38364822388210
7,2001-02,24m,%,MMR,84.08292720392120
7,2002-03,24m,%,MMR,81.79772291589220
7,2003-04,24m,%,MMR,79.88856160573420
7,2004-05,24m,%,MMR,80.86126185619720
7,2005-06,24m,%,MMR,84.05678307961590
7,2006-07,24m,%,MMR,85.24538467670460
7,2007-08,24m,%,MMR,84.55129169458840
7,2008-09,24m,%,MMR,84.86855339835040
7,2009-10,24m,%,MMR,88.18380975243720
7,2010-11,24m,%,MMR,89.12585846521350
7,2011-12,24m,%,MMR,91.24827837879200
7,2012-13,24m,%,MMR,92.32239751569010
7,2013-14,24m,%,MMR,92.65428664827630
7,2014-15,24m,%,MMR,92.29000130100000
7,2015-16,24m,%,MMR,91.91506347005290
7,2016-17,24m,%,MMR,91.60637891117750
7,2017-18,24m,%,MMR,91.16395889161510
7,2018-19,24m,%,MMR,90.30764729241120
