Table_Ref,CollectionYearRange,Child_Age,Unit,Indicator,Value
3,2008-09,5yr,%,DTaP,92.52802928337880
3,2008-09,5yr,%,DTaP_IPV,80.10296607763700
3,2008-09,5yr,%,Hib,90.93861778978620
3,2008-09,5yr,%,MMR1,88.85625160727940
3,2008-09,5yr,%,MMR2,78.01074748095480
3,2008-09,5yr,%,Hib_MenC,-1.00000000000000
3,2009-10,5yr,%,DTaP,94.03672966891360
3,2009-10,5yr,%,DTaP_IPV,84.79645491139740
3,2009-10,5yr,%,Hib,93.12908968081380
3,2009-10,5yr,%,MMR1,91.00956457278300
3,2009-10,5yr,%,MMR2,82.68925740190110
3,2009-10,5yr,%,Hib_MenC,-1.00000000000000
3,2010-11,5yr,%,DTaP,94.69937550576940
3,2010-11,5yr,%,DTaP_IPV,85.89052490400460
3,2010-11,5yr,%,Hib,94.18965667325440
3,2010-11,5yr,%,MMR1,91.92187535262810
3,2010-11,5yr,%,MMR2,84.20903308175170
3,2010-11,5yr,%,Hib_MenC,-1.00000000000000
3,2011-12,5yr,%,DTaP,95.37022704617080
3,2011-12,5yr,%,DTaP_IPV,87.35147886495490
3,2011-12,5yr,%,Hib,94.87876836584960
3,2011-12,5yr,%,MMR1,92.89776421128240
3,2011-12,5yr,%,MMR2,86.01502083475220
3,2011-12,5yr,%,Hib_MenC,88.90655495639290
3,2012-13,5yr,%,DTaP,95.80783558506640
3,2012-13,5yr,%,DTaP_IPV,88.94972823056160
3,2012-13,5yr,%,Hib,95.39441887440610
3,2012-13,5yr,%,MMR1,93.87488939615880
3,2012-13,5yr,%,MMR2,87.71854947244760
3,2012-13,5yr,%,Hib_MenC,91.48941549122980
3,2013-14,5yr,%,DTaP,95.60094473589340
3,2013-14,5yr,%,DTaP_IPV,88.74630712915340
3,2013-14,5yr,%,Hib,-1.00000000000000
3,2013-14,5yr,%,MMR1,94.10716196546180
3,2013-14,5yr,%,MMR2,88.31517397365290
3,2013-14,5yr,%,Hib_MenC,91.93170341292370
3,2014-15,5yr,%,DTaP,95.55512959460000
3,2014-15,5yr,%,DTaP_IPV,88.54416478350000
3,2014-15,5yr,%,Hib,-1.00000000000000
3,2014-15,5yr,%,MMR1,94.37289581700000
3,2014-15,5yr,%,MMR2,88.61954065400000
3,2014-15,5yr,%,Hib_MenC,92.39309020890000
3,2015-16,5yr,%,DTaP,95.57022911013560
3,2015-16,5yr,%,DTaP_IPV,86.25656152020030
3,2015-16,5yr,%,Hib,-1.00000000000000
3,2015-16,5yr,%,MMR1,94.79622532222610
3,2015-16,5yr,%,MMR2,88.22575703506830
3,2015-16,5yr,%,Hib_MenC,92.58254982447510
3,2016-17,5yr,%,DTaP,95.59192832090910
3,2016-17,5yr,%,DTaP_IPV,86.23717312967860
3,2016-17,5yr,%,Hib,-1.00000000000000
3,2016-17,5yr,%,MMR1,95.00111061278940
3,2016-17,5yr,%,MMR2,87.55024284928070
3,2016-17,5yr,%,Hib_MenC,92.56879786422790
3,2017-18,5yr,%,DTaP,95.56125593450720
3,2017-18,5yr,%,DTaP_IPV,85.62744662109490
3,2017-18,5yr,%,Hib,-1.00000000000000
3,2017-18,5yr,%,MMR1,94.88992139855970
3,2017-18,5yr,%,MMR2,87.16880032194790
3,2017-18,5yr,%,Hib_MenC,92.40903705496470
3,2018-19,5yr,%,DTaP,95.03889259659860
3,2018-19,5yr,%,DTaP_IPV,84.82714081881570
3,2018-19,5yr,%,Hib,-1.00000000000000
3,2018-19,5yr,%,MMR1,94.47305134283020
3,2018-19,5yr,%,MMR2,86.43045359353780
3,2018-19,5yr,%,Hib_MenC,92.23802154051500
