Table_Ref,CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Child_Age,Unit,Indicator,Value
10a_10b_10c,2018-19,E12000001,North East,E06000001,Hartlepool,5yr,Number,5y_Eligible_Pop,1106
10a_10b_10c,2018-19,E12000001,North East,E06000001,Hartlepool,5yr,Number,DTap_IPV_Hib,1067
10a_10b_10c,2018-19,E12000001,North East,E06000001,Hartlepool,5yr,Number,DTaP_IPV,923
10a_10b_10c,2018-19,E12000001,North East,E06000001,Hartlepool,5yr,Number,MMR1,1057
10a_10b_10c,2018-19,E12000001,North East,E06000001,Hartlepool,5yr,Number,MMR2,948
10a_10b_10c,2018-19,E12000001,North East,E06000001,Hartlepool,5yr,Number,Hib_MenC,1027
10a_10b_10c,2018-19,E12000001,North East,E06000002,Middlesbrough,5yr,Number,5y_Eligible_Pop,2108
10a_10b_10c,2018-19,E12000001,North East,E06000002,Middlesbrough,5yr,Number,DTap_IPV_Hib,1986
10a_10b_10c,2018-19,E12000001,North East,E06000002,Middlesbrough,5yr,Number,DTaP_IPV,1684
10a_10b_10c,2018-19,E12000001,North East,E06000002,Middlesbrough,5yr,Number,MMR1,1993
10a_10b_10c,2018-19,E12000001,North East,E06000002,Middlesbrough,5yr,Number,MMR2,1817
10a_10b_10c,2018-19,E12000001,North East,E06000002,Middlesbrough,5yr,Number,Hib_MenC,1913
10a_10b_10c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,5yr,Number,5y_Eligible_Pop,1529
10a_10b_10c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,5yr,Number,DTap_IPV_Hib,1493
10a_10b_10c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,5yr,Number,DTaP_IPV,1318
10a_10b_10c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,5yr,Number,MMR1,1477
10a_10b_10c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,5yr,Number,MMR2,1400
10a_10b_10c,2018-19,E12000001,North East,E06000003,Redcar and Cleveland,5yr,Number,Hib_MenC,1458
10a_10b_10c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,5yr,Number,5y_Eligible_Pop,2441
10a_10b_10c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,5yr,Number,DTap_IPV_Hib,2371
10a_10b_10c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,5yr,Number,DTaP_IPV,2129
10a_10b_10c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,5yr,Number,MMR1,2380
10a_10b_10c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,5yr,Number,MMR2,2220
10a_10b_10c,2018-19,E12000001,North East,E06000004,Stockton-on-Tees,5yr,Number,Hib_MenC,2321
10a_10b_10c,2018-19,E12000001,North East,E06000005,Darlington,5yr,Number,5y_Eligible_Pop,1152
10a_10b_10c,2018-19,E12000001,North East,E06000005,Darlington,5yr,Number,DTap_IPV_Hib,1120
10a_10b_10c,2018-19,E12000001,North East,E06000005,Darlington,5yr,Number,DTaP_IPV,1051
10a_10b_10c,2018-19,E12000001,North East,E06000005,Darlington,5yr,Number,MMR1,1108
10a_10b_10c,2018-19,E12000001,North East,E06000005,Darlington,5yr,Number,MMR2,1044
10a_10b_10c,2018-19,E12000001,North East,E06000005,Darlington,5yr,Number,Hib_MenC,1085
10a_10b_10c,2018-19,E12000001,North East,E06000047,County Durham,5yr,Number,5y_Eligible_Pop,5266
10a_10b_10c,2018-19,E12000001,North East,E06000047,County Durham,5yr,Number,DTap_IPV_Hib,5215
10a_10b_10c,2018-19,E12000001,North East,E06000047,County Durham,5yr,Number,DTaP_IPV,5065
10a_10b_10c,2018-19,E12000001,North East,E06000047,County Durham,5yr,Number,MMR1,5164
10a_10b_10c,2018-19,E12000001,North East,E06000047,County Durham,5yr,Number,MMR2,5077
10a_10b_10c,2018-19,E12000001,North East,E06000047,County Durham,5yr,Number,Hib_MenC,5146
10a_10b_10c,2018-19,E12000001,North East,E06000057,Northumberland,5yr,Number,5y_Eligible_Pop,3247
10a_10b_10c,2018-19,E12000001,North East,E06000057,Northumberland,5yr,Number,DTap_IPV_Hib,3189
10a_10b_10c,2018-19,E12000001,North East,E06000057,Northumberland,5yr,Number,DTaP_IPV,2861
10a_10b_10c,2018-19,E12000001,North East,E06000057,Northumberland,5yr,Number,MMR1,3171
10a_10b_10c,2018-19,E12000001,North East,E06000057,Northumberland,5yr,Number,MMR2,2896
10a_10b_10c,2018-19,E12000001,North East,E06000057,Northumberland,5yr,Number,Hib_MenC,3110
10a_10b_10c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,Number,5y_Eligible_Pop,3330
10a_10b_10c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,Number,DTap_IPV_Hib,3182
10a_10b_10c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,Number,DTaP_IPV,2873
10a_10b_10c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,Number,MMR1,3209
10a_10b_10c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,Number,MMR2,2963
10a_10b_10c,2018-19,E12000001,North East,E08000021,Newcastle upon Tyne,5yr,Number,Hib_MenC,3074
10a_10b_10c,2018-19,E12000001,North East,E08000022,North Tyneside,5yr,Number,5y_Eligible_Pop,2428
10a_10b_10c,2018-19,E12000001,North East,E08000022,North Tyneside,5yr,Number,DTap_IPV_Hib,2379
10a_10b_10c,2018-19,E12000001,North East,E08000022,North Tyneside,5yr,Number,DTaP_IPV,2273
10a_10b_10c,2018-19,E12000001,North East,E08000022,North Tyneside,5yr,Number,MMR1,2372
10a_10b_10c,2018-19,E12000001,North East,E08000022,North Tyneside,5yr,Number,MMR2,2295
10a_10b_10c,2018-19,E12000001,North East,E08000022,North Tyneside,5yr,Number,Hib_MenC,2333
10a_10b_10c,2018-19,E12000001,North East,E08000023,South Tyneside,5yr,Number,5y_Eligible_Pop,1738
10a_10b_10c,2018-19,E12000001,North East,E08000023,South Tyneside,5yr,Number,DTap_IPV_Hib,1691
10a_10b_10c,2018-19,E12000001,North East,E08000023,South Tyneside,5yr,Number,DTaP_IPV,1631
10a_10b_10c,2018-19,E12000001,North East,E08000023,South Tyneside,5yr,Number,MMR1,1663
10a_10b_10c,2018-19,E12000001,North East,E08000023,South Tyneside,5yr,Number,MMR2,1621
10a_10b_10c,2018-19,E12000001,North East,E08000023,South Tyneside,5yr,Number,Hib_MenC,1659
10a_10b_10c,2018-19,E12000001,North East,E08000024,Sunderland,5yr,Number,5y_Eligible_Pop,3211
10a_10b_10c,2018-19,E12000001,North East,E08000024,Sunderland,5yr,Number,DTap_IPV_Hib,3119
10a_10b_10c,2018-19,E12000001,North East,E08000024,Sunderland,5yr,Number,DTaP_IPV,3010
