CTRY,SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,HRD_VAC,VAC_IMPTCH,VAC_SF,VAC_EFF,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,4,4,4,2,1,1,2,3,2,1,2,3,2,2.4,1,2,61,3,1,3,1,7,3,4,4
1,2,1,1,2,1,1,2,2,2,2,2,2,2,3,2,4,2,2,2,2,2,3,3,3,4,2,2,2,1,3,2,1,4,4,4,2.4,1,3,59,3,1,2,1,7,2,4,4
1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,3,1,2,2,3,98,2,1,1,1,1,3,1,1,1,1,1,3.0,2,1,26,1,1,3,2,7,2,4,1
1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,2,1,1,1,3,1,1,1,1,1,3.8,3,2,22,1,1,3,1,7,2,4,4
1,3,3,1,2,1,1,2,2,2,2,2,2,2,3,4,4,2,4,4,2,2,2,2,98,4,2,1,1,2,3,2,1,1,2,1,2.5,2,2,67,3,2,2,2,7,3,4,6
1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,5,2,1,4,4,4,3.0,2,2,38,2,1,2,2,7,2,4,6
1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,1,1,2,3,2,1,2,4,3,3.0,2,2,37,2,2,2,1,7,3,4,1
1,2,1,1,98,1,1,1,1,2,98,1,1,1,1,2,2,2,2,2,2,2,98,98,2,98,2,1,98,1,97,2,1,3,3,3,3.0,2,2,29,1,1,2,2,7,1,4,1
1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,3,1,2,2,1,1,1,2,2,3,2,1,1,2,3,2,1,1,1,2,3.6,3,2,59,3,2,3,2,7,1,4,1
1,2,1,1,2,1,1,2,1,2,1,1,1,98,3,2,3,1,2,98,1,2,2,98,3,98,1,1,1,1,3,1,1,1,3,2,2.75,2,1,16,1,1,2,2,7,1,4,4
1,2,1,1,2,1,1,1,1,2,2,2,2,1,98,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,4,5,5,3.0,2,1,49,2,1,3,2,7,1,4,2
