var,val,idx
CH_RVAC,86412,1.0
CH_RVAC,4254,2.0
CH_RVAC,1348,98.0
CH_RVAC,85,99.0
ANY_CH,102115,1.0
ANY_CH,38971,2.0
ANY_CH,700,3.0
ANY_CH,70,4.0
ANY_CH,156,5.0
VAC_EFF,81393,1.0
VAC_EFF,26118,2.0
VAC_EFF,13047,3.0
VAC_EFF,4920,4.0
VAC_EFF,2583,5.0
VAC_EFF,4523,99.0
VAC_SF,76871,1.0
VAC_SF,23283,2.0
VAC_SF,15697,3.0
VAC_SF,8247,4.0
VAC_SF,3832,5.0
VAC_SF,4654,99.0
VAC_IMPTCH,103894,1.0
VAC_IMPTCH,17365,2.0
VAC_IMPTCH,5865,3.0
VAC_IMPTCH,2171,4.0
VAC_IMPTCH,1679,5.0
VAC_IMPTCH,1610,99.0
HRD_VAC,132584,1.0
HRD_VAC,14338,2.0
HRD_VAC,1903,98.0
HRD_VAC,189,99.0
