CTRY,SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,HRD_VAC,VAC_IMPTCH,VAC_SF,VAC_EFF,VAC_IDX,VAC_LVL,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
69,2,3,1,2,1,1,97,2,1,1,1,1,2,3,3,3,2,2,3,2,2,2,2,2,1,3,1,1,1,3,2,1,2,4,4,3.3333333333333335,Medium,2.8,2,2,58,3,2,1,2,10,1,4,1
76,2,1,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,3,3,2,2,2,2,2,2,2,1,1,3,1,2,1,5,4,4,4.333333333333333,High,3.2,2,2,17,1,2,2,2,14,2,3,4
61,2,2,1,2,1,1,2,2,1,1,1,2,1,4,4,4,4,3,4,3,2,2,1,4,3,2,1,1,2,3,4,1,5,4,4,4.333333333333333,High,2.4,1,2,15,1,1,2,1,5,3,1,1
28,2,2,1,2,1,1,2,1,1,1,1,98,1,3,3,3,2,3,3,2,2,3,3,3,3,1,1,1,1,3,2,1,4,4,4,4.0,High,2.2,1,1,19,1,2,2,2,11,2,4,6
116,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,4,1,1,1,1,1,2,2,1,1,1,3,2,1,4,2,4,3.3333333333333335,Medium,4.0,3,2,30,2,2,3,2,6,2,2,5
116,4,3,1,2,2,2,2,1,1,1,1,1,1,1,2,3,2,3,4,1,1,3,3,1,1,2,1,1,1,3,1,1,4,5,4,4.333333333333333,High,3.0,2,2,15,1,1,1,1,6,3,2,4
60,2,1,2,2,1,1,97,2,1,1,1,2,2,1,3,2,1,2,2,2,2,2,2,1,2,2,2,1,1,3,2,1,5,5,4,4.666666666666667,High,3.0,2,3,15,1,2,1,1,1,2,1,6
67,98,3,1,2,97,97,97,1,1,1,1,2,2,3,3,3,3,3,4,2,2,98,4,2,4,98,98,1,98,5,4,1,5,5,4,4.666666666666667,High,2.25,1,99,23,1,2,1,1,1,3,2,5
140,2,1,1,1,1,1,1,2,2,1,1,1,1,3,4,2,2,1,4,1,1,4,4,4,4,98,2,1,1,3,2,1,5,5,5,5.0,High,1.6,1,99,28,1,1,2,2,5,1,1,1
121,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1,2,3,1,1,1,1,3,2,1,1,1,1,3,1,1,5,4,5,4.666666666666667,High,3.6,3,1,31,2,2,3,2,15,1,4,2
87,3,3,1,2,2,2,97,2,2,2,1,2,1,2,2,3,2,3,2,2,2,4,2,2,2,3,2,1,1,3,1,1,5,5,5,5.0,High,2.6,2,4,76,3,1,1,2,8,3,4,6
134,2,4,1,1,97,97,97,2,1,1,1,1,2,2,4,4,4,2,2,4,4,2,2,2,2,3,2,2,1,2,4,1,5,5,5,5.0,High,2.2,1,4,26,1,2,1,2,5,3,2,1
191,3,2,98,1,2,2,2,2,98,2,1,2,98,2,2,2,2,3,3,2,3,2,3,2,3,2,1,1,2,98,3,1,4,1,2,2.3333333333333335,Medium,2.6,2,2,18,1,2,2,1,9,2,3,6
175,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,3,2,3,4,2,2,2,2,2,2,1,1,1,1,1,2,1,5,5,5,5.0,High,3.0,2,1,25,1,1,2,1,14,2,4,1
193,3,2,1,2,1,1,2,2,1,1,2,1,1,3,2,2,2,3,2,3,3,2,3,2,2,3,1,1,2,1,2,1,4,5,4,4.333333333333333,High,2.6,2,2,35,2,1,3,2,13,3,4,1
79,3,2,1,1,1,1,2,1,2,1,1,1,1,3,2,2,2,2,2,1,1,1,1,2,1,3,2,1,1,3,1,1,5,5,5,5.0,High,3.6,3,4,28,1,1,2,1,2,2,2,2
32,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,3,2,2,3,2,1,1,1,1,3,2,1,5,5,5,5.0,High,2.8,2,1,22,1,1,2,1,8,3,3,1
191,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,5,5,5.0,High,4.0,3,1,23,1,1,2,1,9,1,3,4
125,98,3,98,98,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,98,4,98,98,2,1,1,2,1,1,5,2,5,4.0,High,2.5,2,99,28,1,1,1,2,5,1,1,6
48,4,4,98,1,1,1,97,2,1,1,1,1,1,3,2,3,1,2,2,2,3,3,3,2,3,3,2,1,1,3,1,1,4,5,5,4.666666666666667,High,2.4,1,4,22,1,2,2,2,11,3,2,1
184,3,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,98,2,1,2,2,2,2,98,1,2,3,1,1,5,4,4,4.333333333333333,High,3.2,2,99,67,3,1,2,1,17,2,4,6
116,2,2,2,2,1,2,97,2,2,1,1,1,1,2,3,2,1,2,2,2,2,2,2,2,2,1,1,2,1,3,1,1,5,5,5,5.0,High,2.8,2,1,17,1,2,1,1,6,3,2,1
