,region,vaccine,year,coverage
3341,West & Central Africa,MCV1,2013,62
3342,West & Central Africa,MCV2,2013,3
3343,West & Central Africa,PCV3,2013,20
3344,West & Central Africa,POL3,2013,60
3345,West & Central Africa,RCV1,2013,7
3346,West & Central Africa,ROTAC,2013,4
3347,West & Central Africa,YFV,2013,60
3348,West & Central Africa,BCG,2014,71
3349,West & Central Africa,DTP1,2014,69
3350,West & Central Africa,DTP3,2014,62
3351,West & Central Africa,HEPB3,2014,62
3352,West & Central Africa,HEPBB,2014,0
3353,West & Central Africa,HIB3,2014,62
3354,West & Central Africa,MCV1,2014,60
3355,West & Central Africa,MCV2,2014,5
3356,West & Central Africa,PCV3,2014,33
3357,West & Central Africa,POL3,2014,61
3358,West & Central Africa,RCV1,2014,7
3359,West & Central Africa,ROTAC,2014,14
3360,West & Central Africa,YFV,2014,57
3361,West & Central Africa,BCG,2015,71
3362,West & Central Africa,DTP1,2015,69
3363,West & Central Africa,DTP3,2015,61
3364,West & Central Africa,HEPB3,2015,61
3365,West & Central Africa,HEPBB,2015,0
3366,West & Central Africa,HIB3,2015,61
3367,West & Central Africa,IPV1,2015,28
3368,West & Central Africa,MCV1,2015,60
3369,West & Central Africa,MCV2,2015,9
3370,West & Central Africa,PCV3,2015,53
3371,West & Central Africa,POL3,2015,61
3372,West & Central Africa,RCV1,2015,9
3373,West & Central Africa,ROTAC,2015,20
3374,West & Central Africa,YFV,2015,58
3375,West & Central Africa,BCG,2016,76
3376,West & Central Africa,DTP1,2016,74
3377,West & Central Africa,DTP3,2016,65
3378,West & Central Africa,HEPB3,2016,65
3379,West & Central Africa,HEPBB,2016,2
3380,West & Central Africa,HIB3,2016,65
3381,West & Central Africa,IPV1,2016,47
3382,West & Central Africa,MCV1,2016,62
3383,West & Central Africa,MCV2,2016,11
3384,West & Central Africa,PCV3,2016,60
3385,West & Central Africa,POL3,2016,65
3386,West & Central Africa,RCV1,2016,10
3387,West & Central Africa,ROTAC,2016,25
3388,West & Central Africa,YFV,2016,58
3389,West & Central Africa,BCG,2017,77
3390,West & Central Africa,DTP1,2017,75
3391,West & Central Africa,DTP3,2017,66
3392,West & Central Africa,HEPB3,2017,66
3393,West & Central Africa,HEPBB,2017,2
3394,West & Central Africa,HIB3,2017,66
3395,West & Central Africa,IPV1,2017,45
3396,West & Central Africa,MCV1,2017,63
3397,West & Central Africa,MCV2,2017,12
3398,West & Central Africa,PCV3,2017,62
3399,West & Central Africa,POL3,2017,66
3400,West & Central Africa,RCV1,2017,14
3401,West & Central Africa,ROTAC,2017,27
3402,West & Central Africa,YFV,2017,59
3403,West & Central Africa,BCG,2018,76
3404,West & Central Africa,DTP1,2018,74
3405,West & Central Africa,DTP3,2018,66
3406,West & Central Africa,HEPB3,2018,66
3407,West & Central Africa,HEPBB,2018,2
3408,West & Central Africa,HIB3,2018,66
3409,West & Central Africa,IPV1,2018,58
3410,West & Central Africa,MCV1,2018,63
3411,West & Central Africa,MCV2,2018,12
3412,West & Central Africa,PCV3,2018,62
3413,West & Central Africa,POL3,2018,65
3414,West & Central Africa,RCV1,2018,18
3415,West & Central Africa,ROTAC,2018,27
3416,West & Central Africa,YFV,2018,61
3417,West & Central Africa,BCG,2019,76
3418,West & Central Africa,DTP1,2019,75
3419,West & Central Africa,DTP3,2019,66
3420,West & Central Africa,HEPB3,2019,66
3421,West & Central Africa,HEPBB,2019,3
3422,West & Central Africa,HIB3,2019,66
3423,West & Central Africa,IPV1,2019,65
3424,West & Central Africa,MCV1,2019,63
3425,West & Central Africa,MCV2,2019,18
3426,West & Central Africa,PCV3,2019,63
3427,West & Central Africa,POL3,2019,66
3428,West & Central Africa,RCV1,2019,20
3429,West & Central Africa,ROTAC,2019,28
3430,West & Central Africa,YFV,2019,62
3431,Western Europe,BCG,1980,57
3432,Western Europe,DTP1,1980,53
3433,Western Europe,DTP3,1980,46
3434,Western Europe,MCV1,1980,31
3435,Western Europe,POL3,1980,62
3436,Western Europe,RCV1,1980,10
3437,Western Europe,BCG,1981,61
3438,Western Europe,DTP1,1981,69
3439,Western Europe,DTP3,1981,62
3440,Western Europe,MCV1,1981,38
3441,Western Europe,POL3,1981,65
3442,Western Europe,RCV1,1981,12
3443,Western Europe,BCG,1982,61
3444,Western Europe,DTP1,1982,71
3445,Western Europe,DTP3,1982,64
3446,Western Europe,MCV1,1982,41
3447,Western Europe,POL3,1982,67
3448,Western Europe,RCV1,1982,16
3449,Western Europe,BCG,1983,63
3450,Western Europe,DTP1,1983,72
3451,Western Europe,DTP3,1983,66
3452,Western Europe,MCV1,1983,46
3453,Western Europe,POL3,1983,80
3454,Western Europe,RCV1,1983,21
3455,Western Europe,BCG,1984,67
3456,Western Europe,DTP1,1984,82
3457,Western Europe,DTP3,1984,76
3458,Western Europe,MCV1,1984,53
3459,Western Europe,POL3,1984,88
3460,Western Europe,RCV1,1984,27
3461,Western Europe,BCG,1985,65
3462,Western Europe,DTP1,1985,81
3463,Western Europe,DTP3,1985,73
3464,Western Europe,HEPB3,1985,0
3465,Western Europe,MCV1,1985,57
3466,Western Europe,POL3,1985,88
3467,Western Europe,RCV1,1985,34
3468,Western Europe,BCG,1986,65
3469,Western Europe,DTP1,1986,84
3470,Western Europe,DTP3,1986,78
3471,Western Europe,HEPB3,1986,0
3472,Western Europe,MCV1,1986,63
3473,Western Europe,POL3,1986,91
3474,Western Europe,RCV1,1986,37
3475,Western Europe,BCG,1987,63
3476,Western Europe,DTP1,1987,84
3477,Western Europe,DTP3,1987,75
3478,Western Europe,HEPB3,1987,0
3479,Western Europe,MCV1,1987,67
3480,Western Europe,POL3,1987,88
3481,Western Europe,RCV1,1987,39
3482,Western Europe,BCG,1988,64
3483,Western Europe,DTP1,1988,84
3484,Western Europe,DTP3,1988,75
3485,Western Europe,HEPB3,1988,0
3486,Western Europe,MCV1,1988,69
3487,Western Europe,POL3,1988,88
3488,Western Europe,RCV1,1988,53
3489,Western Europe,BCG,1989,63
3490,Western Europe,DTP1,1989,85
3491,Western Europe,DTP3,1989,78
3492,Western Europe,HEPB3,1989,0
3493,Western Europe,MCV1,1989,72
3494,Western Europe,POL3,1989,88
3495,Western Europe,RCV1,1989,58
3496,Western Europe,BCG,1990,63
3497,Western Europe,DTP1,1990,95
3498,Western Europe,DTP3,1990,87
3499,Western Europe,HEPB3,1990,0
3500,Western Europe,HIB3,1990,0
3501,Western Europe,MCV1,1990,80
3502,Western Europe,POL3,1990,92
3503,Western Europe,RCV1,1990,66
3504,Western Europe,BCG,1991,63
3505,Western Europe,DTP1,1991,96
3506,Western Europe,DTP3,1991,90
3507,Western Europe,HEPB3,1991,11
3508,Western Europe,HIB3,1991,11
3509,Western Europe,MCV1,1991,80
3510,Western Europe,POL3,1991,92
3511,Western Europe,RCV1,1991,78
3512,Western Europe,BCG,1992,63
3513,Western Europe,DTP1,1992,96
3514,Western Europe,DTP3,1992,91
3515,Western Europe,HEPB3,1992,11
3516,Western Europe,HIB3,1992,15
3517,Western Europe,MCV1,1992,81
3518,Western Europe,POL3,1992,92
3519,Western Europe,RCV1,1992,79
3520,Western Europe,BCG,1993,64
3521,Western Europe,DTP1,1993,94
3522,Western Europe,DTP3,1993,87
3523,Western Europe,HEPB3,1993,12
3524,Western Europe,HIB3,1993,30
3525,Western Europe,MCV1,1993,83
3526,Western Europe,POL3,1993,93
3527,Western Europe,RCV1,1993,81
3528,Western Europe,BCG,1994,66
3529,Western Europe,DTP1,1994,96
3530,Western Europe,DTP3,1994,91
3531,Western Europe,HEPB3,1994,15
3532,Western Europe,HIB3,1994,31
3533,Western Europe,MCV1,1994,84
3534,Western Europe,POL3,1994,95
3535,Western Europe,RCV1,1994,83
3536,Western Europe,BCG,1995,87
3537,Western Europe,DTP1,1995,97
3538,Western Europe,DTP3,1995,92
3539,Western Europe,HEPB3,1995,20
3540,Western Europe,HIB3,1995,32
3541,Western Europe,MCV1,1995,85
3542,Western Europe,POL3,1995,95
3543,Western Europe,RCV1,1995,85
3544,Western Europe,BCG,1996,86
3545,Western Europe,DTP1,1996,97
3546,Western Europe,DTP3,1996,93
3547,Western Europe,HEPB3,1996,31
3548,Western Europe,HIB3,1996,34
3549,Western Europe,MCV1,1996,87
3550,Western Europe,POL3,1996,96
3551,Western Europe,RCV1,1996,87
3552,Western Europe,BCG,1997,86
3553,Western Europe,DTP1,1997,97
3554,Western Europe,DTP3,1997,93
3555,Western Europe,HEPB3,1997,38
3556,Western Europe,HIB3,1997,39
3557,Western Europe,MCV1,1997,87
3558,Western Europe,POL3,1997,95
3559,Western Europe,RCV1,1997,87
3560,Western Europe,BCG,1998,85
3561,Western Europe,DTP1,1998,97
3562,Western Europe,DTP3,1998,93
3563,Western Europe,HEPB3,1998,46
3564,Western Europe,HIB3,1998,62
3565,Western Europe,MCV1,1998,86
3566,Western Europe,POL3,1998,95
3567,Western Europe,RCV1,1998,86
3568,Western Europe,BCG,1999,86
3569,Western Europe,DTP1,1999,98
3570,Western Europe,DTP3,1999,95
3571,Western Europe,HEPB3,1999,47
3572,Western Europe,HIB3,1999,68
3573,Western Europe,MCV1,1999,88
3574,Western Europe,POL3,1999,95
3575,Western Europe,RCV1,1999,88
3576,Western Europe,BCG,2000,86
3577,Western Europe,DTP1,2000,98
3578,Western Europe,DTP3,2000,93
3579,Western Europe,HEPB3,2000,49
3580,Western Europe,HEPBB,2000,10
3581,Western Europe,HIB3,2000,76
3582,Western Europe,MCV1,2000,88
3583,Western Europe,MCV2,2000,31
3584,Western Europe,POL3,2000,95
3585,Western Europe,RCV1,2000,88
3586,Western Europe,BCG,2001,86
3587,Western Europe,DTP1,2001,98
3588,Western Europe,DTP3,2001,95
3589,Western Europe,HEPB3,2001,50
3590,Western Europe,HEPBB,2001,10
3591,Western Europe,HIB3,2001,79
3592,Western Europe,MCV1,2001,89
3593,Western Europe,MCV2,2001,34
3594,Western Europe,POL3,2001,95
3595,Western Europe,RCV1,2001,89
3596,Western Europe,BCG,2002,86
3597,Western Europe,DTP1,2002,98
3598,Western Europe,DTP3,2002,95
3599,Western Europe,HEPB3,2002,53
3600,Western Europe,HEPBB,2002,10
3601,Western Europe,HIB3,2002,83
3602,Western Europe,MCV1,2002,90
3603,Western Europe,MCV2,2002,49
3604,Western Europe,POL3,2002,96
3605,Western Europe,RCV1,2002,90
3606,Western Europe,BCG,2003,85
3607,Western Europe,DTP1,2003,98
3608,Western Europe,DTP3,2003,96
3609,Western Europe,HEPB3,2003,54
3610,Western Europe,HEPBB,2003,10
3611,Western Europe,HIB3,2003,84
3612,Western Europe,MCV1,2003,90
3613,Western Europe,MCV2,2003,50
3614,Western Europe,POL3,2003,96
3615,Western Europe,RCV1,2003,90
3616,Western Europe,BCG,2004,84
3617,Western Europe,DTP1,2004,98
3618,Western Europe,DTP3,2004,96
3619,Western Europe,HEPB3,2004,57
3620,Western Europe,HEPBB,2004,10
3621,Western Europe,HIB3,2004,87
3622,Western Europe,MCV1,2004,91
3623,Western Europe,MCV2,2004,58
3624,Western Europe,POL3,2004,96
3625,Western Europe,RCV1,2004,91
3626,Western Europe,BCG,2005,83
3627,Western Europe,DTP1,2005,98
3628,Western Europe,DTP3,2005,95
3629,Western Europe,HEPB3,2005,57
3630,Western Europe,HEPBB,2005,10
3631,Western Europe,HIB3,2005,88
3632,Western Europe,MCV1,2005,91
3633,Western Europe,MCV2,2005,58
3634,Western Europe,POL3,2005,96
3635,Western Europe,RCV1,2005,91
3636,Western Europe,BCG,2006,84
3637,Western Europe,DTP1,2006,98
3638,Western Europe,DTP3,2006,96
3639,Western Europe,HEPB3,2006,58
3640,Western Europe,HEPBB,2006,10
3641,Western Europe,HIB3,2006,90
3642,Western Europe,MCV1,2006,92
3643,Western Europe,MCV2,2006,61
3644,Western Europe,POL3,2006,96
3645,Western Europe,RCV1,2006,92
3646,Western Europe,ROTAC,2006,0
3647,Western Europe,BCG,2007,81
3648,Western Europe,DTP1,2007,98
3649,Western Europe,DTP3,2007,96
3650,Western Europe,HEPB3,2007,58
3651,Western Europe,HEPBB,2007,10
3652,Western Europe,HIB3,2007,94
3653,Western Europe,MCV1,2007,93
3654,Western Europe,MCV2,2007,62
3655,Western Europe,POL3,2007,96
3656,Western Europe,RCV1,2007,93
3657,Western Europe,ROTAC,2007,0
3658,Western Europe,BCG,2008,84
3659,Western Europe,DTP1,2008,98
3660,Western Europe,DTP3,2008,96
3661,Western Europe,HEPB3,2008,59
3662,Western Europe,HEPBB,2008,10
3663,Western Europe,HIB3,2008,95
3664,Western Europe,MCV1,2008,93
3665,Western Europe,MCV2,2008,62
3666,Western Europe,PCV3,2008,18
3667,Western Europe,POL3,2008,96
3668,Western Europe,RCV1,2008,93
3669,Western Europe,ROTAC,2008,1
3670,Western Europe,BCG,2009,83
3671,Western Europe,DTP1,2009,98
3672,Western Europe,DTP3,2009,96
3673,Western Europe,HEPB3,2009,59
3674,Western Europe,HEPBB,2009,10
3675,Western Europe,HIB3,2009,95
3676,Western Europe,MCV1,2009,93
3677,Western Europe,MCV2,2009,62
3678,Western Europe,PCV3,2009,27
3679,Western Europe,POL3,2009,96
3680,Western Europe,RCV1,2009,93
3681,Western Europe,ROTAC,2009,1
3682,Western Europe,BCG,2010,81
3683,Western Europe,DTP1,2010,98
3684,Western Europe,DTP3,2010,97
3685,Western Europe,HEPB3,2010,62
3686,Western Europe,HEPBB,2010,10
3687,Western Europe,HIB3,2010,95
3688,Western Europe,MCV1,2010,93
3689,Western Europe,MCV2,2010,73
3690,Western Europe,PCV3,2010,58
3691,Western Europe,POL3,2010,96
3692,Western Europe,RCV1,2010,93
3693,Western Europe,ROTAC,2010,2
3694,Western Europe,BCG,2011,82
3695,Western Europe,DTP1,2011,98
3696,Western Europe,DTP3,2011,97
3697,Western Europe,HEPB3,2011,65
3698,Western Europe,HEPBB,2011,10
3699,Western Europe,HIB3,2011,96
3700,Western Europe,MCV1,2011,93
3701,Western Europe,MCV2,2011,74
3702,Western Europe,PCV3,2011,62
3703,Western Europe,POL3,2011,96
3704,Western Europe,RCV1,2011,93
3705,Western Europe,ROTAC,2011,2
3706,Western Europe,BCG,2012,82
3707,Western Europe,DTP1,2012,99
3708,Western Europe,DTP3,2012,97
3709,Western Europe,HEPB3,2012,66
3710,Western Europe,HEPBB,2012,9
3711,Western Europe,HIB3,2012,96
3712,Western Europe,MCV1,2012,94
3713,Western Europe,MCV2,2012,76
3714,Western Europe,PCV3,2012,66
3715,Western Europe,POL3,2012,96
3716,Western Europe,RCV1,2012,94
3717,Western Europe,ROTAC,2012,4
3718,Western Europe,BCG,2013,78
3719,Western Europe,DTP1,2013,98
3720,Western Europe,DTP3,2013,96
3721,Western Europe,HEPB3,2013,67
3722,Western Europe,HEPBB,2013,9
3723,Western Europe,HIB3,2013,96
3724,Western Europe,MCV1,2013,94
3725,Western Europe,MCV2,2013,85
3726,Western Europe,PCV3,2013,67
3727,Western Europe,POL3,2013,96
3728,Western Europe,RCV1,2013,94
3729,Western Europe,ROTAC,2013,4
3730,Western Europe,BCG,2014,77
3731,Western Europe,DTP1,2014,98
3732,Western Europe,DTP3,2014,96
3733,Western Europe,HEPB3,2014,69
3734,Western Europe,HEPBB,2014,9
3735,Western Europe,HIB3,2014,96
3736,Western Europe,MCV1,2014,94
3737,Western Europe,MCV2,2014,86
3738,Western Europe,PCV3,2014,68
3739,Western Europe,POL3,2014,96
3740,Western Europe,RCV1,2014,94
3741,Western Europe,ROTAC,2014,14
3742,Western Europe,BCG,2015,71
3743,Western Europe,DTP1,2015,98
3744,Western Europe,DTP3,2015,96
3745,Western Europe,HEPB3,2015,70
3746,Western Europe,HEPBB,2015,9
3747,Western Europe,HIB3,2015,95
3748,Western Europe,MCV1,2015,94
3749,Western Europe,MCV2,2015,86
3750,Western Europe,PCV3,2015,69
3751,Western Europe,POL3,2015,95
3752,Western Europe,RCV1,2015,94
3753,Western Europe,ROTAC,2015,29
3754,Western Europe,BCG,2016,71
3755,Western Europe,DTP1,2016,98
3756,Western Europe,DTP3,2016,95
3757,Western Europe,HEPB3,2016,70
3758,Western Europe,HEPBB,2016,9
3759,Western Europe,HIB3,2016,95
3760,Western Europe,MCV1,2016,94
3761,Western Europe,MCV2,2016,87
3762,Western Europe,PCV3,2016,71
3763,Western Europe,POL3,2016,95
3764,Western Europe,RCV1,2016,94
3765,Western Europe,ROTAC,2016,30
3766,Western Europe,BCG,2017,68
3767,Western Europe,DTP1,2017,98
3768,Western Europe,DTP3,2017,95
3769,Western Europe,HEPB3,2017,71
3770,Western Europe,HEPBB,2017,9
3771,Western Europe,HIB3,2017,94
3772,Western Europe,MCV1,2017,94
3773,Western Europe,MCV2,2017,88
3774,Western Europe,PCV3,2017,80
3775,Western Europe,POL3,2017,94
3776,Western Europe,RCV1,2017,94
3777,Western Europe,ROTAC,2017,33
3778,Western Europe,BCG,2018,68
3779,Western Europe,DTP1,2018,98
3780,Western Europe,DTP3,2018,95
3781,Western Europe,HEPB3,2018,71
3782,Western Europe,HEPBB,2018,9
3783,Western Europe,HIB3,2018,94
3784,Western Europe,MCV1,2018,94
3785,Western Europe,MCV2,2018,88
3786,Western Europe,PCV3,2018,84
3787,Western Europe,POL3,2018,94
3788,Western Europe,RCV1,2018,94
3789,Western Europe,ROTAC,2018,35
3790,Western Europe,BCG,2019,68
3791,Western Europe,DTP1,2019,98
3792,Western Europe,DTP3,2019,95
3793,Western Europe,HEPB3,2019,88
3794,Western Europe,HEPBB,2019,9
3795,Western Europe,HIB3,2019,94
3796,Western Europe,MCV1,2019,94
3797,Western Europe,MCV2,2019,88
3798,Western Europe,PCV3,2019,84
3799,Western Europe,POL3,2019,94
3800,Western Europe,RCV1,2019,94
3801,Western Europe,ROTAC,2019,39
