var,val,idx
SCTECH_JOBS,77767,1.0
SCTECH_JOBS,40143,2.0
SCTECH_JOBS,12255,3.0
SCTECH_JOBS,18462,98.0
SCTECH_JOBS,387,99.0
SCTECH_IMPRLIFE,119840,1.0
SCTECH_IMPRLIFE,16908,2.0
SCTECH_IMPRLIFE,11945,98.0
SCTECH_IMPRLIFE,321,99.0
SCI_BENRESP,95652,1.0
SCI_BENRESP,38174,2.0
SCI_BENRESP,14720,98.0
SCI_BENRESP,468,99.0
SCI_BENPPL,53094,1.0
SCI_BENPPL,52616,2.0
SCI_BENPPL,30248,3.0
SCI_BENPPL,12591,98.0
SCI_BENPPL,465,99.0
MDH_INT,116906,1.0
MDH_INT,29145,2.0
MDH_INT,2816,98.0
MDH_INT,147,99.0
SC_INT,104233,1.0
SC_INT,39771,2.0
SC_INT,4765,98.0
SC_INT,245,99.0
MDHINFO_30D,70948,1.0
MDHINFO_30D,76277,2.0
MDHINFO_30D,1647,98.0
MDHINFO_30D,142,99.0
SCINFO_30D,48929,1.0
SCINFO_30D,97563,2.0
SCINFO_30D,2347,98.0
SCINFO_30D,175,99.0
SC_UNI,37665,1.0
SC_UNI,53006,2.0
SC_UNI,35432,97.0
SC_UNI,1129,98.0
SC_UNI,276,99.0
SC_SS,98364,1.0
SC_SS,27366,2.0
SC_SS,14461,97.0
SC_SS,1595,98.0
SC_SS,183,99.0
SC_PS,108084,1.0
SC_PS,30576,2.0
SC_PS,7045,97.0
SC_PS,3161,98.0
SC_PS,148,99.0
SC_POET,47041,1.0
SC_POET,86195,2.0
SC_POET,15482,98.0
SC_POET,296,99.0
SC_DZ,128534,1.0
SC_DZ,11158,2.0
SC_DZ,9110,98.0
SC_DZ,212,99.0
UND_SCSCI,41601,1.0
UND_SCSCI,57050,2.0
UND_SCSCI,28703,3.0
UND_SCSCI,18055,4.0
UND_SCSCI,3328,98.0
UND_SCSCI,277,99.0
SC_KNOWL,11288,1.0
SC_KNOWL,63764,2.0
SC_KNOWL,41855,3.0
SC_KNOWL,27669,4.0
SC_KNOWL,4230,98.0
SC_KNOWL,208,99.0
